Research_and_development,Sales_and_marketing,General_and_administrative,year_quarter,Revenue
199,404,62,Q2-95,"$1,516"
219,436,68,Q3-95,"$1,627"
264,404,86,Q4-95,"$1,662"
278,514,63,Q1-96,"$2,085"
305,554,76,Q2-96,"$2,287"
337,572,87,Q3-96,"$2,311"
406,545,90,Q4-96,"$2,367"
417,518,86,Q1-97,"$2,405"
449,639,81,Q2-97,"$2,808"
474,639,101,Q3-97,"$3,365"
523,615,94,Q4-97,"$3,358"
899,692,95,Q1-98,"$3,334"
648,764,106,Q2-98,"$3,792"
611,731,104,Q3-98,"$3,984"
739,700,128,Q4-98,"$4,152"
651,685,101,Q1-99,"$4,193"
715,798,154,Q2-99,"$5,195"
664,842,152,Q3-99,"$4,595"
940,913,308,Q4-99,"$5,764"
813,922,148,Q1-00,"$5,384"
898,"1,013",514,Q2-00,"$6,112"
974,"1,010",185,Q3-00,"$5,656"
"1,087","1,181",203,Q4-00,"$5,804"
956,"1,038",170,Q1-01,"$5,766"
990,"1,290",212,Q2-01,"$6,550"
"1,069","1,198",239,Q3-01,"$6,403"
"1,364","1,359",236,Q4-01,"$6,577"
"1,398","1,457",286,Q1-02,"$6,126"
"1,595","1,676",885,Q2-02,"$7,741"
"1,474","1,449",343,Q3-02,"$7,245"
"1,832","1,670",329,Q4-02,"$7,253"
"1,707","1,415",252,Q1-03,"$7,746"
"1,515","2,159",497,Q2-03,"$8,541"
"1,692","1,700",425,Q3-03,"$7,835"
"1,681","2,288","1,252",Q4-03,"$8,065"
"1,611","1,505",471,Q1-04,"$8,215"
"2,971","2,467",896,Q2-04,"$10,153"
"1,538","1,928","3,020",Q3-04,"$9,175"
"1,659","2,409",610,Q4-04,"$9,292"
"1,530","1,664","1,096",Q1-05,"$9,189"
"1,421","2,122",651,Q2-05,"$10,818"
"1,482","2,070","1,376",Q3-05,"$9,620"
"1,664","2,707","1,413",Q4-05,"$10,161"
"1,515","1,945",982,Q1-06,"$9,741"
"1,591","2,689",661,Q2-06,"$11,837"
"1,617","2,362","1,005",Q3-06,"$10,900"
"1,861","2,822","1,110",Q4-06,"$11,804"
"1,786","2,234",664,Q1-07,"$10,811"
"1,637","3,038",814,Q2-07,"$12,542"
"1,750","2,914",983,Q3-07,"$14,398"
"1,948","3,355",868,Q4-07,"$13,371"
"1,837","2,683",718,Q1-08,"$13,762"
"1,885","3,420","1,066",Q2-08,"$16,367"
"2,035","3,274","2,341",Q3-08,"$14,454"
"2,407","3,883","1,002",Q4-08,"$15,837"
"2,283","3,044",887,Q1-09,"$15,061"
"2,290","3,662",831,Q2-09,"$16,629"
"2,212","2,981","1,203",Q3-09,"$13,648"
"2,225","3,192","1,109",Q4-09,"$13,099"
"2,065","2,790",741,Q1-10,"$12,920"
"2,079","3,619","1,183",Q2-10,"$19,022"
"2,220","3,203","1,152",Q3-10,"$14,503"
"2,350","3,602",987,Q4-10,"$16,039"
"2,196","2,806",938,Q1-11,"$16,195"
"2,185","3,825",945,Q2-11,"$19,953"
"2,269","3,393","1,160",Q3-11,"$16,428"
"2,393","3,916","1,179",Q4-11,"$17,367"
"2,329","2,900","1,163",Q1-12,"$17,372"
"2,371","3,762","1,120",Q2-12,"$20,885"
"2,517","3,414","1,150",Q3-12,"$17,407"
"2,594","3,781","1,136",Q4-12,"$18,059"
"2,460","2,945","1,094",Q1-13,"$16,008"
"2,528","4,309","1,121",Q2-13,"$21,456"
"2,640","3,794","1,624",Q3-13,"$20,489"
"2,783","4,228","1,174",Q4-13,"$19,896"
"2,767","3,304",979,Q1-14,"$18,529"
"2,748","4,283","1,197",Q2-14,"$24,519"
"2,743","3,542","1,166",Q3-14,"$20,403"
"3,123","4,682","1,335",Q4-14,"$23,382"
"3,065","3,728","1,151",Q1-15,"$23,201"
"2,903","4,315","1,097",Q2-15,"$26,470"
"2,984","3,709","1,091",Q3-15,"$21,729"
"3,094","3,961","1,272",Q4-15,"$22,180"
"2,962","3,341","1,084",Q1-16,"$20,910"
"2,900","3,954","1,038",Q2-16,"25,253"
"2,980","3,398","1,140",Q3-16,"21,517"
"3,146","3,942","1,301",Q4-16,"23,474"
"3,106","3,218","1,045",Q1-17,"21,928"
"3,062","4,079",879,Q2-17,"25,826"
"3,355","3,872","1,202",Q3-17,"23,212"
"3,514","4,292","1,355",Q4-17,"25,605"
"3,574","3,812","1,166",Q1-18,"24,538"
"3,504","4,562","1,109",Q2-18,"28,918"
"3,715","4,335","1,208",Q3-18,"26,819"
"3,933","4,760","1,271",Q4-18,"30,085"
"3,977","4,098","1,149",Q1-19,"29,084"
"4,070","4,588","1,132",Q2-19,"32,471"
"4,316","4,565","1,179",Q3-19,"30,571"
"4,513","4,962","1,425",Q4-19,"33,717"
"4,565","4,337","1,061",Q1-20,"33,055"
"4,603","4,933","1,121",Q2-20,"36,906"
"4,887","4,911","1,273",Q3-20,"35,021"
"5,214","5,417","1,656",Q4-20,"38,033"
"4,926","4,231","1,119",Q1-21,"37,154"
"4,899","4,947","1,139",Q2-21,"43,076"
"5,204","5,082","1,327",Q3-21,"41,706"
"5,687","5,857","1,522",Q4-21,"46,152"
"5,599","4,547","1,287",Q1-22,"45,317"
"5,758","5,379","1,384",Q2-22,"51,728"
"6,306","5,595","1,480",Q3-22,"49,360"
"6,849","6,304","1,749",Q4-22,"51,865"
"6,628","5,126","1,398",Q1-23,"50,122"
"6,844","5,679","2,337",Q2-23,"52,747"
"6,984","5,750","1,643",Q3-23,"52,857"
